,precision,recall,f1-score,support
0,0.9995480566435674,0.8962582736728353,0.9450893810982124,7403.0
1,0.012422360248447204,1.0,0.024539877300613498,2.0
2,0.0,0.0,0.0,3.0
3,0.02631578947368421,0.03225806451612903,0.028985507246376812,31.0
4,0.3271604938271605,0.265,0.292817679558011,200.0
5,0.25333333333333335,0.16740088105726872,0.20159151193633953,227.0
6,0.049689440993788817,0.5161290322580645,0.0906515580736544,31.0
7,0.2897196261682243,0.3522727272727273,0.31794871794871793,88.0
8,0.09523809523809523,0.3076923076923077,0.14545454545454545,13.0
9,0.003745318352059925,0.5,0.007434944237918215,2.0
accuracy,0.847625,0.847625,0.847625,0.847625
macro avg,0.2057172514278361,0.40370112864693325,0.2054513722854389,8000.0
weighted avg,0.9439643685758775,0.847625,0.8918080740412015,8000.0
