accuracy,loss,val_accuracy,val_loss,learning_rate
0.26930588483810425,1.7112174034118652,0.09890914708375931,2.2273082733154297,9.999999747378752e-05
0.5037316083908081,1.3678293228149414,0.44571346044540405,1.9276518821716309,9.999999747378752e-05
0.6713360548019409,1.242035150527954,0.8338091969490051,1.4146939516067505,9.999999747378752e-05
0.7649748921394348,1.1640355587005615,0.8939893245697021,1.0250303745269775,9.999999747378752e-05
0.8150618672370911,1.1107643842697144,0.9223954677581787,0.8210053443908691,9.999999747378752e-05
0.8458043336868286,1.0679619312286377,0.9300095438957214,0.6892421841621399,9.999999747378752e-05
0.8636504411697388,1.0292942523956299,0.9335969090461731,0.6177442669868469,9.999999747378752e-05
0.8730181455612183,0.999879002571106,0.9345486760139465,0.554229736328125,9.999999747378752e-05
0.880394458770752,0.9751394987106323,0.9368182420730591,0.4997885823249817,9.999999747378752e-05
0.8853441476821899,0.9597256779670715,0.9385020732879639,0.46901237964630127,9.999999747378752e-05
0.8881477117538452,0.9419398307800293,0.9376235604286194,0.44327616691589355,9.999999747378752e-05
0.8904969096183777,0.9286578297615051,0.9379895925521851,0.4238598942756653,9.999999747378752e-05
0.8927397727966309,0.9144954681396484,0.9387949109077454,0.40426987409591675,9.999999747378752e-05
0.8949922919273376,0.8984838128089905,0.9377699494361877,0.3854765295982361,9.999999747378752e-05
0.896065354347229,0.8884003758430481,0.9389413595199585,0.3676806390285492,9.999999747378752e-05
0.8979698419570923,0.8730015754699707,0.93923419713974,0.35223427414894104,9.999999747378752e-05
0.8979021906852722,0.8670458793640137,0.9384288787841797,0.33940625190734863,9.999999747378752e-05
0.8999903202056885,0.8517720103263855,0.9387949109077454,0.3235054016113281,9.999999747378752e-05
0.9010247588157654,0.8429340124130249,0.9391610026359558,0.3107451796531677,9.999999747378752e-05
0.9014307856559753,0.8407855033874512,0.9402591586112976,0.3028842806816101,9.999999747378752e-05
0.9020591378211975,0.8331853151321411,0.9417234063148499,0.2944852411746979,9.999999747378752e-05
0.9036446213722229,0.8252879977226257,0.9414305686950684,0.2877773344516754,9.999999747378752e-05
0.903731644153595,0.8182569742202759,0.9397466778755188,0.27151837944984436,9.999999747378752e-05
0.9048917293548584,0.8123523592948914,0.9400395154953003,0.2692144513130188,9.999999747378752e-05
0.9054137468338013,0.803977370262146,0.9402591586112976,0.2635835111141205,9.999999747378752e-05
0.9062548279762268,0.7944120168685913,0.9406984448432922,0.2552178204059601,9.999999747378752e-05
0.9072215557098389,0.7927064299583435,0.9428948163986206,0.258937805891037,9.999999747378752e-05
0.9071345925331116,0.7924111485481262,0.942455530166626,0.25714993476867676,9.999999747378752e-05
0.9083816409111023,0.7804783582687378,0.9412841200828552,0.25514495372772217,4.999999873689376e-05
0.908584713935852,0.7742672562599182,0.9404788017272949,0.2530374228954315,4.999999873689376e-05
0.9083623290061951,0.7784618735313416,0.9401859641075134,0.2563328444957733,4.999999873689376e-05
0.9082366824150085,0.7732663750648499,0.941796600818634,0.24729692935943604,4.999999873689376e-05
0.9095514416694641,0.7697967886924744,0.9410644769668579,0.2474619299173355,4.999999873689376e-05
0.910566508769989,0.7675329446792603,0.9387217164039612,0.24603664875030518,4.999999873689376e-05
0.9101508259773254,0.7651715278625488,0.9420162439346313,0.24806590378284454,4.999999873689376e-05
