,precision,recall,f1-score,support
Benign,0.9998758586443764,0.9874136733276123,0.9936056911404898,24471.0
Analysis,0.15714285714285714,1.0,0.2716049382716049,11.0
Backdoor,0.012658227848101266,0.07692307692307693,0.021739130434782608,13.0
DoS,0.27692307692307694,0.125,0.1722488038277512,144.0
Exploits,0.7703349282296651,0.49640287769784175,0.60375,973.0
Fuzzers,0.6007944389275075,0.5440647482014388,0.5710240679565833,1112.0
Generic,0.33490566037735847,0.5,0.4011299435028249,142.0
Reconnaissance,0.3455978975032852,0.6939313984168866,0.4614035087719298,379.0
Shellcode,0.17582417582417584,0.49230769230769234,0.2591093117408907,65.0
Worms,0.026845637583892617,0.5,0.050955414012738856,8.0
accuracy,0.9389779632476756,0.9389779632476756,0.9389779632476756,0.9389779632476756
macro avg,0.3700902759004296,0.5416043466874549,0.3806570809659596,27318.0
weighted avg,0.9560558252092204,0.9389779632476756,0.9449487005861228,27318.0
