accuracy,loss,val_accuracy,val_loss
0.09353571385145187,3.2723472118377686,0.30774998664855957,2.2160918712615967
0.1420714259147644,2.5731170177459717,0.33125001192092896,2.1922547817230225
0.18332143127918243,2.34287166595459,0.2304999977350235,2.2127606868743896
0.21549999713897705,2.0988595485687256,0.15725000202655792,2.1994595527648926
0.2471071481704712,2.0523152351379395,0.0925000011920929,2.2560622692108154
0.275857150554657,1.9763532876968384,0.1067499965429306,2.282438039779663
0.30503571033477783,1.8658764362335205,0.20800000429153442,2.2000463008880615
0.33407142758369446,1.8419352769851685,0.23475000262260437,2.076239824295044
0.36871427297592163,1.8243521451950073,0.44225001335144043,1.9071452617645264
0.4100356996059418,1.7144770622253418,0.5475000143051147,1.8297126293182373
0.45742857456207275,1.668150782585144,0.5987499952316284,1.7548431158065796
0.4913214147090912,1.725040078163147,0.6330000162124634,1.6631683111190796
0.5251071453094482,1.6243268251419067,0.7114999890327454,1.5353459119796753
0.5761071443557739,1.6142668724060059,0.7517499923706055,1.424214243888855
0.6113571524620056,1.5754426717758179,0.768750011920929,1.3123725652694702
0.6309285759925842,1.606357455253601,0.7897499799728394,1.207444667816162
0.6603928804397583,1.4617234468460083,0.8102499842643738,1.1058181524276733
0.6946428418159485,1.4924993515014648,0.8262500166893005,1.0508984327316284
0.7186071276664734,1.4617819786071777,0.8399999737739563,0.9642328023910522
0.7363571524620056,1.4493050575256348,0.8495000004768372,0.8792938590049744
